Gene,log2FoldChange,pvalue,adj_pvalue
ZNHIT3,-0.23312950394721277,3.768874545498008e-07,9.211241892914908e-07
NOD1,0.3061530811829831,3.7945564550332473e-07,9.27267849465005e-07
ESPN,-1.0492199952869097,3.8191544100268626e-07,9.331449010438661e-07
YIPF6,-0.30257824908683695,3.8197788212946176e-07,9.331635823647589e-07
SRRM1,0.21536862652684796,3.820638555470238e-07,9.332397389509201e-07
TRIB3,-0.600015796708691,3.8310342797060793e-07,9.356448269524527e-07
DLG3,-0.32807183535603457,3.846094237162417e-07,9.391881970013761e-07
PLA2G2D,1.3032879187777375,3.8498331587139166e-07,9.3989506600276e-07
USP13,0.42713687207886686,3.850092765963156e-07,9.3989506600276e-07
ATXN2L,0.20499121794116526,3.8611592138617925e-07,9.424615366499401e-07
AUH,-0.2987903656572799,3.87398357723418e-07,9.454562957910302e-07
OGFOD2,-0.29790356231098514,3.892431476036118e-07,9.498224392734646e-07
TMEM220,0.5557534582302353,3.897214230649872e-07,9.508532714608498e-07
ATP9B,-0.3419241113860405,3.920559431152017e-07,9.564120772456503e-07
FH,0.33422554102352997,3.9221783858124454e-07,9.566699786649376e-07
RALGAPA2,-0.7319886061034531,3.953822255505805e-07,9.642502221289397e-07
KIAA1267,-0.2625538902635398,3.974343296698913e-07,9.691160702002075e-07
MBP,0.6142964651820417,3.978246913416287e-07,9.699290613526036e-07
ZNF543,-0.2999679588390096,3.979948763318579e-07,9.702050878802663e-07
AP1M2,-0.5106880169671246,4.017024482953453e-07,9.791030047902864e-07
TFDP3,-0.8291050587172542,4.0355626040386423e-07,9.833800096148477e-07
GLP1R,1.21310688896744,4.0357268861997477e-07,9.833800096148477e-07
GHITM,-0.24114944032048946,4.043476574110312e-07,9.851274114034137e-07
C11orf65,-0.39638727858293077,4.0593905090074827e-07,9.88863114982083e-07
C11orf46,-0.2683865480538845,4.0624085020053757e-07,9.894567618585748e-07
RPL36A,0.6091228467067262,4.081012864936583e-07,9.93845975831117e-07
CHRM4,-0.6269269628058598,4.085242445672991e-07,9.947337553590369e-07
SNPH,-0.8384926279407718,4.087569925464733e-07,9.951581962925575e-07
TSPAN5,-0.776752637366954,4.103395646987139e-07,9.988683228729413e-07
XRRA1,-0.3208766898393609,4.106069378240108e-07,9.993763257314427e-07
ZNF440,-0.4277360747810377,4.1117687420879187e-07,1.0006204869642362e-06
FOXQ1,1.0875282078472965,4.119727725869281e-07,1.002414104465693e-06
LEAP2,-0.42639794980558543,4.1307511734136927e-07,1.0049527497605027e-06
MFAP3L,0.6723186716939642,4.148577758792005e-07,1.0091455396690164e-06
SEC24D,-0.4455238718039336,4.152785216334577e-07,1.0100247391342165e-06
CCDC124,0.41197285652566507,4.1644791206650955e-07,1.0127242528191714e-06
ANKZF1,0.2691010172420576,4.171798019217957e-07,1.0143592271171017e-06
STIP1,0.27862071796080023,4.1853071566969424e-07,1.0174986563675793e-06
LOC344967,-0.4002181886021754,4.1864689996723024e-07,1.0176358416274523e-06
ESCO2,0.5057078433682882,4.194759005119413e-07,1.0195054353815272e-06
C1orf101,-0.5973984171870708,4.199926929770463e-07,1.0206158049941636e-06
SNX20,0.732613573700954,4.2098245516740273e-07,1.0228750480098257e-06
ZNF236,-0.3042237147009157,4.22521016350741e-07,1.0264668913627845e-06
PTPN7,0.7547932917010325,4.240351749215706e-07,1.0299984351610822e-06
MSRB3,-0.6416138289933606,4.246164581613077e-07,1.031263303263986e-06
BBC3,-0.5382066140371533,4.2577626454222946e-07,1.033932665785565e-06
NCOA3,-0.32124851734024773,4.263358558184579e-07,1.035143944195657e-06
C5orf20,0.9145961784690302,4.26781085895898e-07,1.036077247727319e-06
USHBP1,-0.5272611012921731,4.2747949545613236e-07,1.0376248300481662e-06
IFIH1,0.6349038961549027,4.291016240635634e-07,1.0414138033066103e-06
VPS11,-0.2298977337889312,4.29570751269172e-07,1.0424038036640068e-06
TRIM63,-0.5640673618475314,4.3204900903889137e-07,1.0482682182550678e-06
IFI16,0.5925219551470899,4.323064315165416e-07,1.048743380160499e-06
C10orf18,0.4562883665213473,4.3347915570549876e-07,1.0514385446039943e-06
KIAA1191,-0.27199759632379106,4.3422157233381914e-07,1.0530893444666675e-06
TEX14,-0.8903652684497869,4.348481864416217e-07,1.054458865883642e-06
PSMD3,-0.31914286555908866,4.3544212601655136e-07,1.0557487764894462e-06
PSMG2,0.29354863909508744,4.379605505149292e-07,1.061703654842597e-06
MB,-0.9499491928832331,4.413235093947691e-07,1.069703866352536e-06
CYP27B1,0.720879930089156,4.4355457667260864e-07,1.074958651022417e-06
C1orf190,-0.5334586740505087,4.451084366834248e-07,1.0785709557084127e-06
