Gene,log2FoldChange,pvalue,adj_pvalue
DNER,2.7280354267310787,9.850034090620022e-19,7.827628584379792e-18
CYP4X1,-2.5157985860728163,1.0011105654844969e-18,7.95191834431016e-18
DUSP4,-1.5796517104591334,1.0084768310875084e-18,8.002963855275055e-18
ADAMTS3,1.4452271238364567,1.0380315858225936e-18,8.22600181784959e-18
FAM135B,-1.8756756765248808,1.0520712026576642e-18,8.329508405978625e-18
LOC100132215,1.293722430383724,1.053324185534806e-18,8.335553382740587e-18
SEPT3,1.7521799850752133,1.1265876727714205e-18,8.890981866367737e-18
C9orf172,-1.106041062801932,1.1438646146588242e-18,9.010182417964743e-18
PKDREJ,1.110533062330623,1.1568367267378205e-18,9.103941523264826e-18
HOXD8,-1.087509960331487,1.163701020808006e-18,9.153731355362746e-18
SLC38A11,-1.0912681748556616,1.198097973256735e-18,9.419948515495011e-18
CELF4,1.9242225325006883,1.2882445641164395e-18,1.0109124176926328e-17
MPP7,-1.6290031695534344,1.5253142233338909e-18,1.1921111162632476e-17
AGPAT4,1.0451675464435795,1.531454949935415e-18,1.1963613668532164e-17
CCKBR,2.997806657240485,1.5631674282226191e-18,1.2188984112926374e-17
TLX1,3.1154048348454504,1.7069090784110038e-18,1.3261250732362863e-17
KLHDC9,-1.9291683201759549,1.72684018319293e-18,1.3409980993969721e-17
SIRPA,1.0599645418483163,1.7701944880012396e-18,1.3740388391367872e-17
C9orf171,-1.0483264168728643,1.7993093527604376e-18,1.395366041780977e-17
NCRNA00087,1.2479855465221323,1.9698661678948587e-18,1.5255489240222577e-17
MURC,1.0720120105259023,1.976509495604256e-18,1.529998032279113e-17
NBPF22P,-1.1180784768862178,1.9823014476807737e-18,1.5337843550206077e-17
PRRT2,-1.3013067279368453,2.068548774499727e-18,1.5990642591797707e-17
LDHD,-1.8000243077648186,2.209466726620863e-18,1.704903414334087e-17
KHDRBS3,1.547957633242996,2.239676167199604e-18,1.726649394631474e-17
CHRDL2,2.6097783237107737,2.2474596601184906e-18,1.731865973385425e-17
FOXL1,1.561588531479516,2.2711907659626145e-18,1.7493613181521176e-17
NPDC1,-1.2612239307175699,2.384587729434296e-18,1.8309075307604174e-17
SLC22A23,-1.0795144456227188,2.4478970243863316e-18,1.8752895333018096e-17
KLK8,3.190523820745454,2.5269263681535317e-18,1.9332235422126976e-17
LMBRD2,-1.0313517772279175,2.5613666789193593e-18,1.9578130404845912e-17
RND3,1.0357831074977408,2.577433837787794e-18,1.969210330081926e-17
TRPM8,2.5652505714622365,2.5860114997697147e-18,1.974877840407096e-17
RIMS3,1.2471023486901531,2.682036406088853e-18,2.0445425244267306e-17
C6orf223,2.138024186009976,2.7727273306575744e-18,2.1117865134659433e-17
OGN,-2.434145559875888,2.7925539821401473e-18,2.125936268030698e-17
ProSAPiP1,1.3819920427320227,2.810696356533534e-18,2.1378364873499812e-17
EBF4,-1.3837613251639764,3.083317259584783e-18,2.3378848143690495e-17
FBXL16,-1.8083215466792328,3.1900586045872943e-18,2.4155935098319977e-17
SH3GL3,2.0328575429087623,3.4048973560710567e-18,2.5725555445381586e-17
TIMP3,-1.1833352067868521,3.4310381300832484e-18,2.5888604056410156e-17
PABPC4L,1.157111763088646,3.457686047335132e-18,2.607811930297489e-17
KLK10,3.2833311456737757,3.662097699788206e-18,2.758315958752461e-17
IL27RA,1.3066244923608696,3.679885225251959e-18,2.770488301770153e-17
MKI67,1.085944157731431,3.688326200635423e-18,2.775616226107877e-17
FZD7,1.1499407878716497,3.973961433596096e-18,2.983975450358973e-17
